name,latitude,longitude,street,city,state,zip,phone,website
Trader Joe's Palm Desert (3),33.7274599,-116.3966112,44250 Town Center Way,Palm Desert,CA,92260,760-340-2291,https://locations.traderjoes.com/ca/palm-desert/3/
Trader Joe's La Habra,33.9186903,-117.9690152,"2101 W. Imperial Hwy, Suite A",La Habra,CA,90631,562-266-1428,https://locations.traderjoes.com/ca/la-habra/5/
Trader Joe's Oceanside (22),33.1839061,-117.3335057,2570 Vista Way,Oceanside,CA,92054,760-433-9994,https://locations.traderjoes.com/ca/oceanside/22/
Trader Joe's San Ramon (246),37.7641646,-121.9521083,300 Market Place,San Ramon,CA,94583,925-275-8140,https://locations.traderjoes.com/ca/san-ramon/246/
Trader Joe's Rocklin (228),38.8028703,-121.209243,5116 Commons Dr. #103,Rocklin,CA,95677,916-660-9820,https://locations.traderjoes.com/ca/rocklin/228/
Trader Joe's Thousand Oaks (196),34.2164343,-118.8894062,451 Avenida De Los Arboles,Thousand Oaks,CA,91360,805-492-7107,https://locations.traderjoes.com/ca/thousand-oaks/196/
Trader Joe's Newbury Park (243),34.1800942,-118.9538252,125 N Reino Road,Thousand Oaks,CA,91320,805-375-1984,https://locations.traderjoes.com/ca/thousand-oaks/243/
Trader Joe's Simi Valley (30),34.2810581,-118.7384764,2975-A Cochran St,Simi Valley,CA,93065,805-520-3135,https://locations.traderjoes.com/ca/simi-valley/30/
Trader Joe's Aliso Viejo (195),33.5774874,-117.7247835,26541 Aliso Creek Rd,Aliso Viejo,CA,92656,949-643-5531,https://locations.traderjoes.com/ca/aliso-viejo/195/
Trader Joe's Novato (198),38.1118504,-122.5681231,7514 Redwood Blvd,Novato,CA,94945,415-898-9359,https://locations.traderjoes.com/ca/novato/198/
Trader Joe's Walnut Creek (123),37.8932731,-122.0607009,1372 S California Blvd,Walnut Creek,CA,94596,925-945-1674,https://locations.traderjoes.com/ca/walnut-creek/123/
Trader Joe's Olympic Blvd (215),34.0337173,-118.4493138,11755 Olympic Blvd,Los Angeles,CA,90064,310-477-5949,https://locations.traderjoes.com/ca/los-angeles/215/
Trader Joe's Sunset Blvd (192),34.0980119,-118.3647592,8000 W Sunset Blvd,Los Angeles,CA,90046,323-822-7663,https://locations.traderjoes.com/ca/los-angeles/192/
Trader Joe's West Los Angeles - Sepulveda (119),34.0204805,-118.4221063,3456 S Sepulveda Blvd,Los Angeles,CA,90034,310-836-2458,https://locations.traderjoes.com/ca/los-angeles/119/
Trader Joe's West Los Angeles (7),34.030059,-118.4214825,10850 National Blvd,Los Angeles,CA,90064,310-470-1917,https://locations.traderjoes.com/ca/los-angeles/7/
Trader Joe's USC Village (250),34.0257349,-118.284175,3131 S Hoover Street,Los Angeles,CA,90089,213-749-1497,https://locations.traderjoes.com/ca/los-angeles/250/
Trader Joe's Los Angeles - 3rd & Fairfax (240),34.0721276,-118.361769,175 South Fairfax Ave,Los Angeles,CA,90036,323-931-4012,https://locations.traderjoes.com/ca/los-angeles/240/
Trader Joe's Westwood (234),34.0622644,-118.443835,1000 Glendon Ave,Los Angeles,CA,90024,310-824-1495,https://locations.traderjoes.com/ca/los-angeles/234/
Trader Joe's Silver Lake (17),34.1078841,-118.2717732,2738 Hyperion Ave,Los Angeles,CA,90027,323-665-6774,https://locations.traderjoes.com/ca/los-angeles/17/
Trader Joe's Hollywood (206),34.1000536,-118.3265144,1600 N Vine St,Los Angeles,CA,90028,323-856-0689,https://locations.traderjoes.com/ca/los-angeles/206/
Trader Joe's Los Angeles - Burton Way (237),34.0711655,-118.3770739,8500 Burton Way,Los Angeles,CA,90048,310-248-2984,https://locations.traderjoes.com/ca/los-angeles/237/
Trader Joe's Los Angeles (31),34.0691505,-118.3444162,263 S La Brea Ave,Los Angeles,CA,90036,323-965-1989,https://locations.traderjoes.com/ca/los-angeles/31/
Trader Joe's Sunnyvale (68),37.368166,-122.036101,316 West El Camino Real,Sunnyvale,CA,94087,408-736-7573,https://locations.traderjoes.com/ca/sunnyvale/68/
Trader Joe's San Mateo - Hillsdale (245),37.5354584,-122.2981725,45 W Hillsdale Blvd,San Mateo,CA,94403,650-286-1509,https://locations.traderjoes.com/ca/san-mateo/245/
Trader Joe's San Mateo - Grant St (67),37.5545382,-122.3025133,1820-22 S Grant Street,San Mateo,CA,94402,650-570-6140,https://locations.traderjoes.com/ca/san-mateo/67/
Trader Joe's Los Gatos (181),37.2441186,-121.9579316,15466 Los Gatos Blvd,Los Gatos,CA,95032,408-356-2324,https://locations.traderjoes.com/ca/los-gatos/181/
Trader Joe's La Jolla (20),32.8649117,-117.2318811,8657 Villa la Jolla Dr,La Jolla,CA,92037,858-546-8629,https://locations.traderjoes.com/ca/la-jolla/20/
Trader Joe's Clovis (180),36.8436127,-119.7293094,1077 N Willow Ave,Clovis,CA,93611,559-325-3120,https://locations.traderjoes.com/ca/clovis/180/
Trader Joe's Westchester (33),33.9587392,-118.3966617,8645 S Sepulveda,Westchester,CA,90045,310-338-9238,https://locations.traderjoes.com/ca/westchester/33/
Trader Joe's Manhattan Beach - Rosecrans Blvd (106),33.9004811,-118.3812106,1800 Rosecrans Blvd,Manhattan Beach,CA,90266,310-725-9800,https://locations.traderjoes.com/ca/manhattan-beach/106/
Trader Joe's Manhattan Beach Blvd (34),33.8876384,-118.379888,1821 Manhattan Beach Blvd,Manhattan Beach,CA,90266,310-372-1274,https://locations.traderjoes.com/ca/manhattan-beach/34/
Trader Joe's San Clemente (16),33.4580519,-117.6527485,638 Camino de Los Mares,San Clemente,CA,92673,949-240-9996,https://locations.traderjoes.com/ca/san-clemente/16/
Trader Joe's Santa Maria (239),34.9380236,-120.4213274,1303 S Bradley Rd,Santa Maria,CA,93454,805-925-1657,https://locations.traderjoes.com/ca/santa-maria/239/
Trader Joe's Cerritos (104),33.8692417,-118.0581293,12861 Towne Center Dr,Cerritos,CA,90703,562-402-5148,https://locations.traderjoes.com/ca/cerritos/104/
Trader Joe's Camarillo (114),34.2203367,-119.0507035,363 Carmen Dr,Camarillo,CA,93010,805-388-1925,https://locations.traderjoes.com/ca/camarillo/114/
Trader Joe's Eagle Rock (55),34.1393242,-118.2002048,1566 Colorado Blvd,Eagle Rock,CA,90041,323-257-6422,https://locations.traderjoes.com/ca/eagle-rock/55/
Trader Joe's Whittier (48),33.9492806,-118.0055254,15025 E Whittier Blvd,Whittier,CA,90603,562-698-1642,https://locations.traderjoes.com/ca/whittier/48/
Trader Joe's Pasadena (East) (32),34.1353546,-117.9406052,3035 E Huntington Dr,Pasadena,CA,91107,626-356-2963,https://locations.traderjoes.com/ca/pasadena/32/
Trader Joe's Pasadena - S Lake Ave (179),34.1400495,-118.1329065,345 S Lake Ave,Pasadena,CA,91101,626-395-9553,https://locations.traderjoes.com/ca/pasadena/179/
Trader Joe's Pasadena (51),34.1351409,-118.1468743,610 S Arroyo Pkwy,Pasadena,CA,91105,626-568-9254,https://locations.traderjoes.com/ca/pasadena/51/
Trader Joe's Hastings Ranch (171),34.1536988,-118.0781964,467 N Rosemead Blvd,Pasadena,CA,91107,626-351-3399,https://locations.traderjoes.com/ca/pasadena/171/
Trader Joe's Riverside (15),33.9559323,-117.3884753,6225 Riverside Plaza,Riverside,CA,92506,951-781-2378,https://locations.traderjoes.com/ca/riverside/15/
